year,energy_type,power_consumption
2007,Coal,40224
2007,Gas,29325
2008,Wind,582
2008,Oil,47566
2008,Nuclear,7227
2008,Hydropower,8599
2008,Traditional bimass,11829
2008,Other renewables,833
2008,Biofuels,574
2008,Solar,33
2008,Coal,40770
2008,Gas,30025
2009,Wind,724
2009,Oil,46654
2009,Nuclear,7081
2009,Hydropower,8533
2009,Traditional bimass,11747
2009,Other renewables,891
2009,Biofuels,636
2009,Solar,55
2009,Coal,40149
2009,Gas,29411
2010,Wind,903
2010,Oil,48087
2010,Nuclear,7219
2010,Hydropower,8958
2010,Traditional bimass,11667
2010,Other renewables,990
2010,Biofuels,734
2010,Solar,88
2010,Coal,41997
2010,Gas,31606
2011,Wind,1142
2011,Oil,48550
2011,Nuclear,6874
2011,Hydropower,9073
2011,Traditional bimass,11553
2011,Other renewables,1033
2011,Biofuels,775
2011,Solar,169
2011,Coal,44018
2011,Gas,32372
2012,Wind,1367
2012,Oil,49157
2012,Nuclear,6364
2012,Hydropower,9401
2012,Traditional bimass,11441
2012,Other renewables,1110
2012,Biofuels,789
2012,Solar,260
2012,Coal,44185
2012,Gas,33219
2013,Wind,1628
2013,Oil,49689
2013,Nuclear,6384
2013,Hydropower,9765
2013,Traditional bimass,11330
2013,Other renewables,1188
2013,Biofuels,857
2013,Solar,356
2013,Coal,44993
2013,Gas,33767
2014,Wind,1798
2014,Oil,50014
2014,Nuclear,6467
2014,Hydropower,9910
2014,Traditional bimass,11220
2014,Other renewables,1275
2014,Biofuels,933
2014,Solar,504
2014,Coal,44954
2014,Gas,33994
2015,Wind,2104
2015,Oil,50892
2015,Nuclear,6516
2015,Hydropower,9827
2015,Traditional bimass,11111
2015,Other renewables,1362
2015,Biofuels,937
2015,Solar,650
2015,Coal,43844
2015,Gas,34781
2016,Wind,2424
2016,Oil,51920
2016,Nuclear,6576
2016,Hydropower,10092
2016,Traditional bimass,11111
2016,Other renewables,1378
2016,Biofuels,970
2016,Solar,825
2016,Coal,43196
2016,Gas,35589
2017,Wind,2852
2017,Oil,52568
2017,Nuclear,6596
2017,Hydropower,10165
2017,Traditional bimass,11111
2017,Other renewables,1457
2017,Biofuels,1012
2017,Solar,1117
2017,Coal,43360
2017,Gas,36586
2018,Wind,3157
2018,Oil,53181
2018,Nuclear,6711
2018,Hydropower,10368
2018,Traditional bimass,11111
2018,Other renewables,1529
2018,Biofuels,1109
2018,Solar,1448
2018,Coal,44109
2018,Gas,38517
2019,Wind,3540
2019,Oil,53620
2019,Nuclear,6923
2019,Hydropower,10455
2019,Traditional bimass,11111
2019,Other renewables,1614
2019,Biofuels,1143
2019,Solar,1793
2019,Coal,43849
2019,Gas,39292
